"accession_id","name","country","latitude","longitude","count_phenotypes"
6145,"T930","Sweden",55.9497,13.5533,143
6146,"T940","Sweden",55.9575,13.5686,5
6147,"T950","Sweden",55.9425,13.5675,0
6148,"T960","Sweden",55.9319,13.5508,140
6149,"T970","Sweden",55.9281,13.5481,138
6150,"T980","Sweden",55.9261,13.5319,152
6151,"T990","Sweden",55.6528,13.2244,150
6153,"TAA 03","Sweden",62.6425,17.7422,12
6154,"TAA 04","Sweden",62.6422,17.7406,17
6163,"TAA 14","Sweden",62.6425,17.7356,6
6166,"TAA 17","Sweden",62.6425,17.7372,9
6169,"TÅD 01","Sweden",62.8714,18.3447,251
6170,"TÅD 02","Sweden",62.871666,18.344166,5
6171,"TÅD 03","Sweden",62.8717,18.3444,14
6172,"TÅD 04","Sweden",62.8717,18.3436,136
6173,"TÅD 05","Sweden",62.8717,18.3419,135
6174,"TÅD 06","Sweden",62.8719,18.3422,129
6177,"TÄL 03","Sweden",62.6322,17.69,148
6180,"TÄL 07","Sweden",62.6322,17.6906,147
6184,"TBÖ 01","Sweden",62.8892,18.4522,145
6188,"TDr-1","Sweden",55.7683,14.1386,261
6189,"TDr-2","Sweden",55.7686,14.1383,149
6190,"TDr-3","Sweden",55.7686,14.1381,123
6191,"TDr-4","Sweden",55.7689,14.1375,135
6192,"TDr-5","Sweden",55.7692,14.1369,136
6193,"TDr-7","Sweden",55.7694,14.1347,144
6194,"TDr-8","Sweden",55.7706,14.1342,250
6195,"TDr-9","Sweden",55.7708,14.1342,151
6197,"TDr-11","Sweden",55.7714,14.1333,7
6198,"TDr-13","Sweden",55.7708,14.1331,137
6199,"TDr-14","Sweden",55.7711,14.1206,6
6200,"TDr-15","Sweden",55.7714,14.1214,0
6201,"TDr-16","Sweden",55.7719,14.1211,149
6202,"TDr-17","Sweden",55.7717,14.1206,181
6203,"TDr-18","Sweden",55.7714,14.1208,242
6207,"TDr-22","Sweden",55.7711,14.1217,5
6209,"TEDEN 02","Sweden",62.8836,18.1842,145
